96, 15
46, 37
19, 100
0, 63
68, 41
67, 67
41, 65
88, 81
99, 10
65, 83
11, 45
74, 23
71, 61
67, 22
75, 77
75, 97
55, 81
46, 64
96, 6
10, 44
44, 61
77, 17
38, 32
7, 79
51, 9
19, 5
79, 79
97, 74
8, 23
58, 82
76, 13
10, 85
87, 80
71, 9
71, 56
80, 79
61, 15
90, 47
88, 39
89, 76
47, 86
49, 78
0, 65
30, 7
71, 47
5, 19
63, 13
68, 82
7, 52
3, 98
63, 50
92, 41
21, 42
14, 85
39, 46
99, 60
76, 83
89, 39
46, 45
32, 92
27, 46
87, 68
9, 81
16, 27
31, 27
98, 22
89, 36
100, 15
24, 92
73, 81
45, 80
95, 15
88, 28
0, 5
41, 52
87, 91
12, 16
24, 6
59, 83
15, 17
20, 91
0, 71
59, 3
50, 7
82, 5
24, 69
22, 66
0, 76
99, 14
15, 40
26, 56
37, 87
75, 33
28, 25
71, 11
63, 76
74, 45
83, 31
74, 62
97, 6
